schulform,fach,participating,niveau0_rel,niveau1_rel,niveau2_rel,niveau3_rel,niveau4_rel,niveau5_rel,niveau6_rel,chart_id
Gymnasium,Deutsch,19286.0,0.0,0.3,6.7,30.9,43.0,19.2,,gymnasium-deutsch
Gymnasium,Englisch (Hören),19286.0,0.0,0.0,2.7,47.9,38.9,10.4,,gymnasium-englisch-hoeren
Gymnasium,Englisch (Lesen),19286.0,0.0,0.0,2.2,43.6,39.1,15.0,,gymnasium-englisch-lesen
Gymnasium,Mathe,19286.0,0.0,1.1,12.6,36.3,31.8,17.5,0.5,gymnasium-mathe
Hauptschule,Deutsch,5816.0,6.7,26.6,37.9,21.7,6.3,0.9,,hauptschule-deutsch
Hauptschule,Englisch (Hören),5816.0,2.3,17.7,56.3,21.4,2.2,0.3,,hauptschule-englisch-hoeren
Hauptschule,Englisch (Lesen),5816.0,7.0,34.1,37.0,20.2,1.4,0.2,,hauptschule-englisch-lesen
Hauptschule,Mathe,5816.0,6.2,59.1,26.6,6.7,1.4,0.1,0.0,hauptschule-mathe
Realschule,Deutsch,14945.0,0.3,7.7,24.2,40.5,22.8,4.5,,realschule-deutsch
Realschule,Englisch (Hören),14945.0,0.2,1.4,28.3,54.9,13.4,1.8,,realschule-englisch-hoeren
Realschule,Englisch (Lesen),14945.0,0.0,2.8,25.7,59.1,10.9,1.4,,realschule-englisch-lesen
Realschule,Mathe,14945.0,0.1,22.7,42.6,26.3,6.3,2.0,0.0,realschule-mathe
Schulen des längeren gemeinsamen Lernens,Deutsch,24534.0,2.5,18.3,27.9,31.5,16.3,3.7,,schulen-des-laengeren-gemeinsamen-lernens-deutsch
Schulen des längeren gemeinsamen Lernens,Englisch (Hören),14835.0,0.7,7.9,42.1,38.6,9.0,1.8,,schulen-des-laengeren-gemeinsamen-lernens-englisch-hoeren
Schulen des längeren gemeinsamen Lernens,Englisch (Lesen),14835.0,1.8,16.3,31.5,41.8,7.4,1.2,,schulen-des-laengeren-gemeinsamen-lernens-englisch-lesen
Schulen des längeren gemeinsamen Lernens,Mathe,14399.0,2.2,38.5,33.8,19.3,4.5,2.0,0.0,schulen-des-laengeren-gemeinsamen-lernens-mathe
